ORDER_NO;LINE_NO;RELEASE_NO;ORDER_DATE;REQUISITION_NO;VENDOR_NO;VENDOR_NAME;PART_NO;PART_DESCRIPTION;COMPANY_NAME;BILLING_ADDRESS;NAMA_PIC_BILLING;TELEPHONE_PIC_BILLING;SHIPPING_ADDRESS;FULL_NAME_PIC_SHIPPING;BUY_QTY_DUE;WANTED_RECEIPT_DATE;TERM;ORDER_FOR;DELIVERY_TERMS_DESC;PO_TRANSPORT;REVISION;HEADER_STATUS;LINE_STATUS
LTT21001171;2;1;2021/04/17 10:30:25.000;LTT210000013;52894;DAYA INTI TEKNIK;111110105;MATA SHOCK;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK LTT1, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 2.0;2021/05/05 00:00:00.000;7 days after invoice received;Ayarwillem;FRANCO;TIDAK ADA; 0.0;Received;Confirmed
KED21001959;1;1;2021/05/12 11:08:05.000;KED210000560;58171;INDARWATI;700026106;JASA CLEANING SERVICE (SITE);PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);KTR BESAR KED, DESA MARAH HALOQ, KECAMATAN TELEN, SANGATA - KUTAI TIMUR, KALIMANTAN TIMUR;KED1-SAWIT(INTI+PKS); 2.0;2021/05/12 00:00:00.000;7 days after invoice received;GA;FRANCO;TIDAK ADA; 0.0;Confirmed;Confirmed
LTT21001853;10;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;171910991;SEAL TIPE;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 4.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
LTT21001853;9;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;111030582;LEM FOX;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 5.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
LTT21001853;8;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;111030871;ISOLASI LISTRIK;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 10.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
LTT21001853;7;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;171150001;BUSI / SPARK PLUG;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 1.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
LTT21001853;6;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;121050021;Tabung Gas;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 1.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
LTT21001853;5;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;111032316;LEM KOREA;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 1.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
LTT21001853;4;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;111032049;GALON AIR;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 1.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
LTT21001853;3;1;2021/07/29 07:31:46.000;LTT210000908;14189;KARYA LESTARI;171080551;BAUT + MUR;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);SENTRAL LTT, DESA TOWIORA, KECAMATAN RIO PAKAVA, KABUPATEN DONGGALA, SULAWESI TENGAH;LTT1-SAWIT(INTI+PKS); 8.0;2021/06/30 00:00:00.000;7 days after invoice received;TEK-SUP;FRANCO;TIDAK ADA; 0.0;Released;Released
