REQUISITION_NO;LINE_NO;RELEASE_NO;LAST_AUTHORIZED_DATE;WANTED_RECEIPT_DATE;REQUISITIONER_CODE;REQUISITIONER_NAME;NOTE_TEXT;PART_NO;PART_DESCRIPTION;ORIGINAL_QTY;BUY_UNIT_MEAS;FBUY_UNIT_PRICE;SPEC1;SPEC2;SPB_REFERENCE;BUYER_CODE;STATUS
SAL210000307;1;1;2021/08/12 00:00:00.000;2021/02/28 00:00:00.000;ST154_SAL1;Site - Rawat TM;;700011111;PRUNING TM; 17.6;ha; 32414.0;;BLOK 001 AFD OA INTI 1;23/KTU-SAL1/TAN/I/21;BUYER11_SAL1;Authorized
BNA210000277;1;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST166_BNA1;Site - Infrastructure;;700069468;JASA PERBAIKAN POMPA; 1.0;unit; 6760000.0;;;01/SPB/TEK/BNA/08/21;BUYER11_INP1;Authorized
BNA210000278;1;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST166_BNA1;Site - Infrastructure;;700069468;JASA PERBAIKAN POMPA; 1.0;unit; 1248000.0;;;02/SPB/TEK/BNA/08/21;BUYER11_INP1;Authorized
KED210001472;1;1;2021/08/12 00:00:00.000;2021/05/05 00:00:00.000;ST154_KED1;Site - Rawat TM;;451000432;TAS PINGGANG; 336.0;pcs; 75000.0;;;KED/XPRO/MRW/IV/2021;BUYER203_HO;Authorized
TPP210002156;1;1;2021/08/12 00:00:00.000;2021/08/04 00:00:00.000;ST163_TPP4;Site - Workshop Central;;315112175;Mild Steel Flat Bar SS400 DIN; 175.0;btg; 240000.0;(12.0 X 40) mm X 6 m;;;BUYER501_HO;Authorized
SAL210002449;1;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST163_SAL2;Site - Workshop Central;;121030375;GRINDING MACHINE; 1.0;pcs; 3750000.0;"14""";;SPB/404/VIII/2021;BUYER11_SAL2;Authorized
SAL210002450;1;1;2021/08/12 00:00:00.000;2021/08/09 00:00:00.000;ST163_SAL2;Site - Workshop Central;;121030017;GRINDING MACHINE; 1.0;unit; 2100000.0;"7""";;SPB/405/VIII/2021;BUYER11_SAL2;Authorized
TBM210001362;1;1;2021/08/12 00:00:00.000;2021/08/03 00:00:00.000;ST167_TBM1;Site - Workshop;;700069468;JASA PERBAIKAN POMPA; 2.0;unit; 950000.0;;;;BUYER11_TBM1;Authorized
TBM210001364;1;1;2021/08/12 00:00:00.000;2021/08/03 00:00:00.000;ST167_TBM1;Site - Workshop;;700069454;JASA SERVIS INJECTOR PC 200-8; 5.0;unit; 2265000.0;;;;BUYER11_TBM1;Authorized
TBM210001280;2;1;2021/08/12 00:00:00.000;2021/07/14 00:00:00.000;ST174_TBM1;Site - WMS;;125070108;Dony Senter Kepala; 11.0;set; 280000.0;KL-190;;;BUYER11_TBM1;Authorized
TBM210001280;1;1;2021/08/12 00:00:00.000;2021/07/14 00:00:00.000;ST174_TBM1;Site - WMS;;171920063;SELANG BENANG; 1.0;Roll; 989000.0;"1""";;;BUYER11_TBM1;Authorized
EDI210001547;9;1;2021/08/12 00:00:00.000;2021/07/25 00:00:00.000;ST173_EDI2;Site - GA;;121120320;GORONG - GORONG BETON; 12.0;pcs; 600000.0;(100 x 10) cm x 1 m;;3/umum/EDI2/VII/21;BUYER11_EDI2;Authorized
SAM210001008;1;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST174_SAM1;Site - WMS;;171340551;ENGINE ASSY; 2.0;unit; 130000000.0;TD 266B-69;;SAM 21/06/0802021;BUYER201_HO;Authorized
